CATEGORY,MODULE,PROMPT_ID,TITLE,DESCRIPTION,USE_CASE,DIFFICULTY,ESTIMATED_TIME_MIN
Recruiting,Employee Central,REC001,Create Employee JD,Generate job description with all required sections,New hire planning,Easy,5
Recruiting,Employee Central,REC002,Screen Resumes,Analyze resumes against job requirements,Candidate evaluation,Easy,10
Recruiting,Employee Central,REC003,Interview Questions,Generate behavioral interview questions,Interview preparation,Medium,15
Recruiting,Recruiting Module,REC004,Job Description Enhancement,Improve and optimize existing job descriptions,Existing JD update,Easy,5
Recruiting,Recruiting Module,REC005,Candidate Ranking,Rank candidates based on criteria,Candidate selection,Medium,10
Recruiting,Recruiting Module,REC006,Offer Letter,Create professional offer letter,Offer creation,Easy,5
Recruiting,Recruiting Module,REC007,Competitive Analysis,Analyze competitor JD and compensation,Market research,Medium,15
Recruiting,Recruiting Module,REC008,Diversity Hiring,Generate diverse candidate sourcing strategy,DEI initiative,Hard,20
Recruiting,Recruiting Module,REC009,Background Check Script,Create reference check questionnaire,Due diligence,Medium,10
Recruiting,Recruiting Module,REC010,Salary Negotiation,Develop negotiation strategy and talking points,Offer negotiation,Hard,20
Recruiting,Recruiting Module,REC011,Interview Feedback,Structure interview feedback and scoring,Interview conclusion,Easy,5
Recruiting,Recruiting Module,REC012,Rejection Letter,Craft professional rejection letter,Candidate communication,Easy,5
Recruiting,Recruiting Module,REC013,Onboarding Checklist,Create pre-arrival onboarding checklist,New hire preparation,Medium,10
Recruiting,Recruiting Module,REC014,Requisition Analysis,Analyze unfilled requisitions and bottlenecks,Recruitment analysis,Hard,20
Recruiting,Recruiting Module,REC015,Employer Branding,Develop employer value proposition,Recruitment marketing,Hard,25
Onboarding,Onboarding,ONB001,90-Day Plan,Create 90-day onboarding plan,New hire success,Medium,15
Onboarding,Onboarding,ONB002,Training Plan,Generate comprehensive training roadmap,Skills development,Medium,20
Onboarding,Onboarding,ONB003,Mentor Program,Design mentorship structure,Onboarding support,Medium,15
Onboarding,Onboarding,ONB004,Buddy Assignment,Define buddy program structure,Peer support,Easy,10
Onboarding,Onboarding,ONB005,First Week Agenda,Create detailed first week schedule,Day 1-5 planning,Easy,10
Onboarding,Onboarding,ONB006,Welcome Email,Write engaging welcome email,First communication,Easy,5
Onboarding,Onboarding,ONB007,Learning Objectives,Define learning objectives by role,Onboarding goals,Medium,10
Onboarding,Onboarding,ONB008,Feedback Survey,Create onboarding feedback survey,Quality measurement,Easy,10
Onboarding,Onboarding,ONB009,Culture Briefing,Prepare company culture overview,Cultural orientation,Medium,15
Onboarding,Onboarding,ONB010,Integration Plan,Design integration with other systems,Technical onboarding,Hard,20
Performance,Performance Management,PER001,Performance Goals,Create SMART performance goals,Goal setting,Medium,15
Performance,Performance Management,PER002,Review Template,Structure performance review format,Annual appraisal,Easy,10
Performance,Performance Management,PER003,360 Feedback,Generate 360-degree feedback questionnaire,Multi-rater feedback,Medium,15
Performance,Performance Management,PER004,Competency Assessment,Create competency assessment framework,Skills evaluation,Hard,25
Performance,Performance Management,PER005,Development Plan,Design individual development plan,Career growth,Medium,20
Performance,Performance Management,PER006,PIP Creation,Create Performance Improvement Plan,Underperformance,Hard,20
Performance,Performance Management,PER007,Rating Distribution,Develop performance rating distribution rules,Rating alignment,Hard,20
Performance,Performance Management,PER008,Calibration Guide,Create manager calibration guidance,Rating moderation,Hard,20
Compensation,Compensation,COM001,Salary Review,Analyze compensation levels and adjustments,Annual increase,Medium,20
Compensation,Compensation,COM002,Bonus Structure,Design bonus structure and formula,Variable pay,Hard,25
Compensation,Compensation,COM003,Equity Plan,Create stock option vesting schedule,Equity compensation,Hard,30
Compensation,Compensation,COM004,Benefits Package,Design comprehensive benefits offering,Total rewards,Hard,30
Compensation,Compensation,COM005,Market Analysis,Conduct compensation market analysis,Benchmarking,Hard,25
Compensation,Compensation,COM006,Pay Grade Structure,Create job grade and pay grade matrix,Compensation framework,Hard,25
Compensation,Compensation,COM007,Budget Allocation,Distribute compensation budget by department,Budget planning,Hard,25
Compensation,Compensation,COM008,Compliance Review,Verify compensation compliance by country,Regulatory,Hard,20
Compensation,Compensation,COM009,Salary Planning,Create salary planning process and rules,Annual planning,Hard,25
Compensation,Compensation,COM010,Executive Compensation,Design executive compensation package,Leadership pay,Hard,30
Time Management,Time & Attendance,TIM001,Timesheet Approval,Create timesheet approval workflow,Month-end close,Medium,15
Time Management,Time & Attendance,TIM002,Leave Policy,Develop comprehensive leave policy,Leave management,Medium,20
Time Management,Time & Attendance,TIM003,Attendance Rules,Define attendance calculation rules,Attendance tracking,Hard,20
Time Management,Time & Attendance,TIM004,Overtime Policy,Create overtime management policy,Overtime handling,Medium,15
Time Management,Time & Attendance,TIM005,Payroll Integration,Design time to payroll integration,Integration design,Hard,25
Time Management,Time & Attendance,TIM006,Shift Management,Create shift scheduling rules,Shift operations,Hard,25
Time Management,Time & Attendance,TIM007,Compliance Audit,Conduct time and attendance compliance audit,Regulatory,Hard,20
Time Management,Time & Attendance,TIM008,Device Integration,Setup biometric/device integration,System integration,Hard,30
Time Management,Time & Attendance,TIM009,Exception Handling,Define exception handling rules,Edge cases,Medium,20
Time Management,Time & Attendance,TIM010,Forecasting,Forecast resource needs based on time data,Workforce planning,Hard,25
Payroll,Payroll,PAY001,Payroll Checklist,Create monthly payroll processing checklist,Payroll administration,Medium,15
Payroll,Payroll,PAY002,Tax Calculation,Verify tax calculation by country,Compliance,Hard,25
Payroll,Payroll,PAY003,Statutory Deduction,Calculate statutory deductions (PF/ESI),Payroll processing,Hard,20
Payroll,Payroll,PAY004,Bonus Calculation,Calculate annual bonus and distribution,Variable pay,Hard,25
Payroll,Payroll,PAY005,Reconciliation,Create payroll reconciliation process,Quality control,Medium,20
Payroll,Payroll,PAY006,Salary Advance,Design salary advance policy and process,Employee benefit,Medium,15
Payroll,Payroll,PAY007,Loan Management,Create employee loan management system,Benefits administration,Hard,25
Payroll,Payroll,PAY008,Compliance Filing,Ensure compliance filings (Form 12BA, etc.),Statutory requirement,Hard,20
Payroll,Payroll,PAY009,Currency Management,Handle multi-currency payroll scenarios,Global payroll,Hard,30
Payroll,Payroll,PAY010,Exception Processing,Define payroll exception handling,Payroll edge cases,Hard,20
Analytics,Analytics & Reporting,ANA001,Headcount Report,Generate headcount analysis report,Workforce metrics,Easy,10
Analytics,Analytics & Reporting,ANA002,Turnover Analysis,Analyze employee turnover trends,Retention metrics,Medium,20
Analytics,Analytics & Reporting,ANA003,Hiring Metrics,Create hiring effectiveness dashboard,Recruitment metrics,Medium,20
Analytics,Analytics & Reporting,ANA004,Compensation Analysis,Analyze compensation equity and ranges,Pay equity,Hard,25
Analytics,Analytics & Reporting,ANA005,Performance Analytics,Analyze performance rating distribution,Performance metrics,Medium,20
