PHASE,WEEK,ITEM_ID,TASK_DESCRIPTION,CATEGORY,RESPONSIBLE,PRIORITY,DURATION_HOURS,DEPENDENCIES,STATUS,COMMENTS
Planning,1,PLAN001,Kick-off meeting with executive sponsors,Planning,PMO,P1,2,,Not Started,
Planning,1,PLAN002,Define project governance structure,Planning,PMO,P1,4,,Not Started,
Planning,1,PLAN003,Establish steering committee,Planning,PMO,P1,2,,Not Started,
Planning,1,PLAN004,Create detailed project schedule (Gantt),Planning,PMO,P1,8,PLAN002,Not Started,
Planning,1,PLAN005,Develop risk register and mitigation plan,Planning,PMO,P2,8,PLAN002,Not Started,
Planning,1,PLAN006,Create communication plan,Planning,Comms,P2,4,,Not Started,
Planning,2,PLAN007,Resource planning and allocation,Planning,PMO,P1,8,,Not Started,
Planning,2,PLAN008,Budget finalization and approval,Planning,Finance,P1,6,PLAN007,Not Started,
Planning,2,PLAN009,Vendor selection and contract negotiation,Planning,Procurement,P1,16,PLAN001,Not Started,
Planning,2,PLAN010,Establish change management structure,Planning,Change Mgmt,P2,4,,Not Started,
Planning,3,PLAN011,Current state assessment (As-Is analysis),Planning,Consulting,P1,24,,Not Started,
Planning,3,PLAN012,Future state visioning,Planning,Consulting,P1,16,,Not Started,
Planning,3,PLAN013,Gap analysis (Current vs Future),Planning,Consulting,P1,20,,Not Started,
Planning,3,PLAN014,Requirements prioritization (MoSCoW),Planning,Consulting,P1,12,PLAN013,Not Started,
Planning,3,PLAN015,Technology assessment,Planning,IT,P2,12,,Not Started,
Discovery,4,DSC001,HR processes documentation,Discovery,Business,P1,40,,Not Started,
Discovery,4,DSC002,Payroll processes documentation,Discovery,Payroll,P1,40,,Not Started,
Discovery,4,DSC003,Benefits processes documentation,Discovery,Benefits,P1,32,,Not Started,
Discovery,4,DSC004,Finance-HR integration review,Discovery,Finance,P2,16,,Not Started,
Discovery,5,DSC005,Recruiting processes review,Discovery,Recruiting,P2,20,,Not Started,
Discovery,5,DSC006,Learning & Development process review,Discovery,L&D,P2,16,,Not Started,
Discovery,5,DSC007,Compensation processes review,Discovery,Comp,P2,20,,Not Started,
Discovery,5,DSC008,Existing system documentation,Discovery,IT,P1,20,,Not Started,
Discovery,6,DSC009,Data inventory and quality assessment,Discovery,IT,P1,24,,Not Started,
Discovery,6,DSC010,Integration points identification,Discovery,IT,P1,20,,Not Started,
